"YEAR";"P_KIA_NEW";"P_MOSHI_NEW";"P_KIA_OLD";"P_MOSHI_OLD";"P_MEAN_NEW";"P_MEAN_OLD"
"1982-11-01";273;"263.6";273;"263.6";"268.3";"268.3"
"1982-12-01";"49.3";"111.8";"49.3";"111.8";"80.55";"80.55"
"1983-01-01";0;"11.6";0;"11.6";"5.8";"5.8"
"1983-02-01";"39.2";"31.9";"39.2";"31.9";"35.55";"35.55"
"1983-03-01";"59.1";"54.1";"59.1";"54.1";"56.6";"56.6"
"1983-04-01";"30.3";"217.4";"30.3";"217.4";"123.85";"123.85"
"1983-05-01";"83.9";"217.3";"83.9";"217.3";"150.6";"150.6"
"1983-06-01";"25.3";"34.6";"25.3";"34.6";"29.95";"29.95"
"1983-07-01";"2.8";"26.9";"2.8";"26.9";"14.85";"14.85"
"1983-08-01";0;"0.7";0;"0.7";"0.35";"0.35"
"1983-09-01";0;"3.3";0;"3.3";"1.65";"1.65"
"1983-10-01";"0.6";"8.8";"0.6";"8.8";"4.7";"4.7"
"1983-11-01";"13.7";"35.2";"13.7";"35.2";"24.45";"24.45"
"1983-12-01";"86.6";"67.7";"86.6";"67.7";"77.15";"77.15"
"1984-01-01";"31.6";"38.7";"31.6";"38.7";"35.15";"35.15"
"1984-02-01";"2.5";"1.9";"2.5";"1.9";"2.2";"2.2"
"1984-03-01";"11.6";"13.7";"11.6";"13.7";"12.65";"12.65"
"1984-04-01";122;"553.5";122;"553.5";"337.75";"337.75"
"1984-05-01";"38.1";"58.9";"38.1";"58.9";"48.5";"48.5"
"1984-06-01";"12.1";"72.2";"12.1";"72.2";"42.15";"42.15"
"1984-07-01";"12.8";"76.9";"12.8";"76.9";"44.85";"44.85"
"1984-08-01";"0.4";"0.6";"0.4";"0.6";"0.5";"0.5"
"1984-09-01";"0.1";"4.2";"0.1";"4.2";"2.15";"2.15"
"1984-10-01";"6.4";31;"6.4";31;"18.7";"18.7"
"1984-11-01";"61.5";"95.2";"61.5";"95.2";"78.35";"78.35"
"1984-12-01";33;"57.6";33;"57.6";"45.3";"45.3"
"1985-01-01";"8.3";"14.3";"8.3";"14.3";"11.3";"11.3"
"1985-02-01";"73.9";"99.2";"73.9";"99.2";"86.55";"86.55"
"1985-03-01";"49.5";"146.5";"49.5";"146.5";98;98
"1985-04-01";"146.1";"200.7";"146.1";"200.7";"173.4";"173.4"
"1985-05-01";"81.1";"173.2";"81.1";"173.2";"127.15";"127.15"
"1985-06-01";"2.4";"28.1";"2.4";"28.1";"15.25";"15.25"
"1985-07-01";"3.1";"12.4";"3.1";"12.4";"7.75";"7.75"
"1985-08-01";"0.1";"15.8";"0.1";"15.8";"7.95";"7.95"
"1985-09-01";"1.7";"3.2";"1.7";"3.2";"2.45";"2.45"
"1985-10-01";"34.7";40;"34.7";40;"37.35";"37.35"
"1985-11-01";"82.7";"116.2";"82.7";"116.2";"99.45";"99.45"
"1985-12-01";"68.4";"63.7";"68.4";"63.7";"66.05";"66.05"
"1986-01-01";"158.6";"87.6";"158.6";"87.6";"123.1";"123.1"
"1986-02-01";"4.8";"5.4";"4.8";"5.4";"5.1";"5.1"
"1986-03-01";"7.9";"164.5";"7.9";"164.5";"86.2";"86.2"
"1986-04-01";"170.1";"387.6";"170.1";"387.6";"278.85";"278.85"
"1986-05-01";"159.4";"208.1";"159.4";"208.1";"183.75";"183.75"
"1986-06-01";17;"29.5";17;"29.5";"23.25";"23.25"
"1986-07-01";"0.9";"2.2";"0.9";"2.2";"1.55";"1.55"
"1986-08-01";"28.2";7;"28.2";7;"17.6";"17.6"
"1986-09-01";0;"1.4";0;"1.4";"0.7";"0.7"
"1986-10-01";"13.9";"43.8";"13.9";"43.8";"28.85";"28.85"
"1986-11-01";"42.8";"58.7";"42.8";"58.7";"50.75";"50.75"
"1986-12-01";"125.3";"89.2";"125.3";"89.2";"107.25";"107.25"
"1987-01-01";"93.3";"39.8";"93.3";"39.8";"66.55";"66.55"
"1987-02-01";"5.4";"8.8";"5.4";"8.8";"7.1";"7.1"
"1987-03-01";47;25;47;25;36;36
"1987-04-01";"111.9";116;"111.9";116;"113.95";"113.95"
"1987-05-01";"103.9";"97.1";"103.9";"97.1";"100.5";"100.5"
"1987-06-01";"3.8";"0.3";"3.8";"0.3";"2.05";"2.05"
"1987-07-01";"7.4";"58.4";"7.4";"58.4";"32.9";"32.9"
"1987-08-01";"31.7";"60.8";"31.7";"60.8";"46.25";"46.25"
"1987-09-01";0;"3.4";0;"3.4";"1.7";"1.7"
"1987-10-01";"0.9";"0.6";"0.9";"0.6";"0.75";"0.75"
"1987-11-01";"42.9";"13.4";"42.9";"13.4";"28.15";"28.15"
"1987-12-01";"4.6";"19.6";"4.6";"19.6";"12.1";"12.1"
"1988-01-01";"20.2";"60.8";"20.2";"60.8";"40.5";"40.5"
"1988-02-01";"9.8";"8.6";"9.8";"8.6";"9.2";"9.2"
"1988-03-01";"166.9";"179.8";"166.9";"179.8";"173.35";"173.35"
"1988-04-01";"210.2";"534.8";"210.2";"534.8";"372.5";"372.5"
"1988-05-01";"21.8";"128.6";"21.8";"128.6";"75.2";"75.2"
"1988-06-01";"18.8";"22.4";"18.8";"22.4";"20.6";"20.6"
"1988-07-01";"3.4";"7.2";"3.4";"7.2";"5.3";"5.3"
"1988-08-01";"13.5";"4.8";"13.5";"4.8";"9.15";"9.15"
"1988-09-01";"7.6";"37.5";"7.6";"37.5";"22.55";"22.55"
"1988-10-01";"0.9";"1.2";"0.9";"1.2";"1.05";"1.05"
"1988-11-01";"9.4";"27.5";"9.4";"27.5";"18.45";"18.45"
"1988-12-01";"79.3";"79.1";"79.3";"79.1";"79.2";"79.2"
