"Datetime","Timezone","Aggregationtime","PlotId","EpPlotId","StationId","Processlevel","Qualityflag","TEMP","MAX","MIN"
1973-03-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.975,31,11.2
1973-03-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.2,31,9
1973-03-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.6,32,11
1973-03-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.62,31,12
1973-03-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.6,31,15
1973-03-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.32,30.6666666666667,12
1973-03-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.32,30.6666666666667,12
1973-03-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.2,29,13
1973-03-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.45,30.4,13.25
1973-03-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.45,30.25,13.6666666666667
1973-03-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,24,30,13
1973-03-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.76,29.2,13.5
1973-03-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.6833333333333,29.3333333333333,12.8
1973-03-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22,31,13
1973-03-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.0142857142857,29,12.8333333333333
1973-03-20 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.8,27,13
1973-03-21 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.8,29,15
1973-03-22 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.3,30,10
1973-03-23 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.5,28,11
1973-03-24 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.7,28,15
1973-03-25 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.26,28.14,13.99
1973-03-26 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.42,27.97,14.07
1973-03-27 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.53,27.92,13.99
1973-03-28 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.04,27.27,13.33
1973-03-29 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.72,27.62,14.07
1973-03-30 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.27,26.92,13.86
1973-03-31 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,23.3,27,16
1973-04-01 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.8,28.25,16
1973-04-02 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,23.2,28,16
1973-04-03 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.48,28.4,15.4
1973-04-04 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.4,30,16
1973-04-05 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.48,28.4,15.4
1973-04-06 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.3,28,16
1973-04-07 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.28,28.8,15.6
1973-04-08 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.2,29,13
1973-04-09 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.72,28.6,15.4
1973-04-10 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.55,28.25,15.25
1973-04-11 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,22.3,29,17
1973-04-12 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.3,28.3333333333333,15
1973-04-13 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,21.3,28.3333333333333,15
1973-04-14 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,20.4,27,15
1973-04-15 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.471894345421,25.6007776742883,14.2304500902976
1973-04-16 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.5018110021742,25.616733922199,14.3538480678819
1973-04-17 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.55799135554,25.6106121941728,14.4110187119279
1973-04-18 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.6286793976538,25.5928695835129,14.3955804423716
1973-04-19 12:00:00,"eat","diurnal","nai","xxx",NA,100,NA,19.6713451125922,25.5738476439441,14.3230082095688
