IOD,Type,Season,,,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ
,SL,1973,-,1974,-1,-1.2,-1.3,-1.6,-1.9,-2,-1.9,-1.6,-1.2,-1,-0.8,-0.7
M,WL,1974,-,1975,-0.5,-0.4,-0.4,-0.6,-0.8,-0.7,-0.5,-0.5,-0.6,-0.7,-0.8,-1
M,SL,1975,-,1976,-1.1,-1.2,-1.4,-1.5,-1.6,-1.7,-1.5,-1.1,-0.7,-0.5,-0.3,-0.1
,WE,1976,-,1977,0.2,0.4,0.6,0.7,0.8,0.8,0.6,0.6,0.3,0.3,0.3,0.4
P,WE,1977,-,1978,0.4,0.4,0.5,0.7,0.8,0.8,0.7,0.5,0.1,-0.2,-0.3,-0.3
,,1978,-,1979,-0.3,-0.4,-0.4,-0.3,-0.1,-0.1,-0.1,0.1,0.2,0.3,0.2,0
,,1979,-,1980,0,0.2,0.3,0.5,0.5,0.6,0.5,0.4,0.3,0.3,0.4,0.4
,,1980,-,1981,0.3,0.1,-0.1,0,0,-0.1,-0.4,-0.6,-0.5,-0.4,-0.3,-0.3
,,1981,-,1982,-0.4,-0.4,-0.3,-0.2,-0.2,-0.1,-0.1,0,0.1,0.3,0.5,0.7
P,SE,1982,-,1983,0.7,1,1.5,1.9,2.1,2.2,2.2,1.9,1.5,1.2,0.9,0.6
P,WL,1983,-,1984,0.2,-0.2,-0.5,-0.8,-0.9,-0.8,-0.5,-0.3,-0.3,-0.4,-0.5,-0.5
,WL,1984,-,1985,-0.3,-0.2,-0.3,-0.6,-0.9,-1.1,-1,-0.9,-0.7,-0.7,-0.7,-0.6
,,1985,-,1986,-0.5,-0.5,-0.5,-0.4,-0.4,-0.4,-0.5,-0.4,-0.2,-0.2,-0.1,0
,ME,1986,-,1987,0.3,0.5,0.7,0.9,1.1,1.2,1.2,1.3,1.2,1.1,1,1.2
,SE,1987,-,1988,1.4,1.6,1.6,1.5,1.3,1.1,0.8,0.5,0.1,-0.2,-0.8,-1.2
,SL,1988,-,1989,-1.3,-1.2,-1.3,-1.6,-1.9,-1.9,-1.7,-1.5,-1.1,-0.8,-0.6,-0.4
M,,1989,-,1990,-0.3,-0.3,-0.3,-0.3,-0.2,-0.1,0.1,0.2,0.3,0.3,0.2,0.2
,,1990,-,1991,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.2,0.2,0.3,0.5,0.7
,ME,1991,-,1992,0.8,0.7,0.7,0.8,1.2,1.4,1.6,1.5,1.4,1.2,1,0.7
,,1992,-,1993,0.3,0,-0.2,-0.3,-0.2,0,0.2,0.3,0.5,0.6,0.6,0.5
,,1993,-,1994,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4
P,ME,1994,-,1995,0.4,0.4,0.5,0.7,1,1.2,1,0.8,0.6,0.3,0.2,0
,WL,1995,-,1996,-0.2,-0.4,-0.7,-0.8,-0.9,-0.9,-0.9,-0.8,-0.6,-0.4,-0.3,-0.2
,,1996,-,1997,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.4,-0.1,0.2,0.7,1.2
P,SE,1997,-,1998,1.5,1.8,2.1,2.3,2.4,2.3,2.2,1.8,1.4,0.9,0.4,-0.2
,ML,1998,-,1999,-0.7,-1,-1.2,-1.3,-1.4,-1.5,-1.5,-1.3,-1,-0.9,-0.9,-1
,SL,1999,-,2000,-1,-1.1,-1.1,-1.3,-1.5,-1.7,-1.7,-1.5,-1.2,-0.9,-0.8,-0.7
,WL,2000,-,2001,-0.6,-0.5,-0.6,-0.6,-0.8,-0.8,-0.7,-0.6,-0.5,-0.4,-0.2,-0.1
,,2001,-,2002,0,0,-0.1,-0.2,-0.3,-0.3,-0.2,0,0.1,0.3,0.5,0.7
,ME,2002,-,2003,0.8,0.8,0.9,1.2,1.3,1.3,1.1,0.8,0.4,0,-0.2,-0.1
,,2003,-,2004,0.2,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.2,0.3
,WE,2004,-,2005,0.5,0.7,0.8,0.7,0.7,0.7,0.6,0.4,0.3,0.3,0.3,0.3
,WL,2005,-,2006,0.2,0.1,0,-0.2,-0.5,-0.8,-0.9,-0.7,-0.5,-0.3,0,0.1
P,WE,2006,-,2007,0.2,0.3,0.5,0.8,1,1,0.7,0.3,-0.1,-0.2,-0.3,-0.3
P,ML,2007,-,2008,-0.4,-0.6,-0.8,-1.1,-1.2,-1.4,-1.5,-1.5,-1.2,-0.9,-0.7,-0.5
,WL,2008,-,2009,-0.3,-0.2,-0.1,-0.2,-0.5,-0.7,-0.8,-0.7,-0.5,-0.2,0.2,0.4
,ME,2009,-,2010,0.5,0.6,0.8,1.1,1.4,1.6,1.6,1.3,1,0.6,0.1,-0.4
,SL,2010,-,2011,-0.9,-1.2,-1.4,-1.5,-1.5,-1.5,-1.4,-1.2,-0.9,-0.6,-0.3,-0.2
,WL,2011,-,2012,-0.2,-0.4,-0.6,-0.8,-1,-1,-0.9,-0.6,-0.5,-0.3,-0.2,0
,,2012,-,2013,0.1,0.4,0.5,0.6,0.2,-0.3,-0.6,-0.6,-0.4,-0.2,-0.2,-0.3
,,2013,-,2014,-0.3,-0.3,-0.3,-0.2,-0.3,-0.4,-0.6,-0.6,-0.5,-0.2,-0.1,0.2
